"STATION","NAME","DATE","PRCP"
"USC00416276","NEW BRAUNFELS, TX US","1901-11-19","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-11-20","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-11-21","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-11-22","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-11-23","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-11-24","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-11-25","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-11-26","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-11-27","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-11-28","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-11-29","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-11-30","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-01","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-02","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-03","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-04","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-05","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-06","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-07","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-08","0.70"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-09","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-10","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-11","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-12","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-13","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-14","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-15","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-16","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-17","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-18","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-19","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-20","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-21","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-22","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-23","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-24","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-25","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-26","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-27","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-28","0.11"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-29","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-30","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1901-12-31","0.00"
"USC00410902","BOERNE, TX US","1899-08-01","0.00"
"USC00410902","BOERNE, TX US","1899-08-02","0.00"
"USC00410902","BOERNE, TX US","1899-08-03","0.00"
"USC00410902","BOERNE, TX US","1899-08-04","0.00"
"USC00410902","BOERNE, TX US","1899-08-05","0.00"
"USC00410902","BOERNE, TX US","1899-08-06","0.00"
"USC00410902","BOERNE, TX US","1899-08-07","0.00"
"USC00410902","BOERNE, TX US","1899-08-08","0.00"
"USC00410902","BOERNE, TX US","1899-08-09","0.00"
"USC00410902","BOERNE, TX US","1899-08-10","0.00"
"USC00410902","BOERNE, TX US","1899-08-11","0.00"
"USC00410902","BOERNE, TX US","1899-08-12","0.00"
"USC00410902","BOERNE, TX US","1899-08-13","0.00"
"USC00410902","BOERNE, TX US","1899-08-14","0.00"
"USC00410902","BOERNE, TX US","1899-08-15","0.00"
"USC00410902","BOERNE, TX US","1899-08-16","0.32"
"USC00410902","BOERNE, TX US","1899-08-17","0.07"
"USC00410902","BOERNE, TX US","1899-08-18","0.00"
"USC00410902","BOERNE, TX US","1899-08-19","0.00"
"USC00410902","BOERNE, TX US","1899-08-20","0.00"
"USC00410902","BOERNE, TX US","1899-08-21","0.00"
"USC00410902","BOERNE, TX US","1899-08-22","0.00"
"USC00410902","BOERNE, TX US","1899-08-23","0.00"
"USC00410902","BOERNE, TX US","1899-08-24","0.00"
"USC00410902","BOERNE, TX US","1899-08-25","0.00"
"USC00410902","BOERNE, TX US","1899-08-26","0.00"
"USC00410902","BOERNE, TX US","1899-08-27","0.00"
"USC00410902","BOERNE, TX US","1899-08-28","0.00"
"USC00410902","BOERNE, TX US","1899-08-29","0.00"
"USC00410902","BOERNE, TX US","1899-08-30","0.00"
"USC00410902","BOERNE, TX US","1899-08-31","0.00"
"USC00410902","BOERNE, TX US","1899-09-01","0.22"
"USC00410902","BOERNE, TX US","1899-09-02","0.00"
"USC00410902","BOERNE, TX US","1899-09-03","0.05"
"USC00410902","BOERNE, TX US","1899-09-04","0.00"
"USC00410902","BOERNE, TX US","1899-09-05","0.00"
"USC00410902","BOERNE, TX US","1899-09-06","0.02"
"USC00410902","BOERNE, TX US","1899-09-07","0.00"
"USC00410902","BOERNE, TX US","1899-09-08","0.00"
"USC00410902","BOERNE, TX US","1899-09-09","0.00"
"USC00410902","BOERNE, TX US","1899-09-10","0.00"
"USC00410902","BOERNE, TX US","1899-09-11","2.10"
"USC00410902","BOERNE, TX US","1899-09-12","0.00"
"USC00410902","BOERNE, TX US","1899-09-13","0.00"
"USC00410902","BOERNE, TX US","1899-09-14","0.00"
"USC00410902","BOERNE, TX US","1899-09-15","0.00"
"USC00410902","BOERNE, TX US","1899-09-16","0.00"
"USC00410902","BOERNE, TX US","1899-09-17","0.58"
"USC00410902","BOERNE, TX US","1899-09-18","0.00"
"USC00410902","BOERNE, TX US","1899-09-19","0.00"
"USC00410902","BOERNE, TX US","1899-09-20","0.00"
"USC00410902","BOERNE, TX US","1899-09-21","0.00"
"USC00410902","BOERNE, TX US","1899-09-22","0.00"
"USC00410902","BOERNE, TX US","1899-09-23","0.00"
"USC00410902","BOERNE, TX US","1899-09-24","0.00"
"USC00410902","BOERNE, TX US","1899-09-25","0.00"
"USC00410902","BOERNE, TX US","1899-09-26","0.00"
"USC00410902","BOERNE, TX US","1899-09-27","0.00"
"USC00410902","BOERNE, TX US","1899-09-28","0.00"
"USC00410902","BOERNE, TX US","1899-09-29","0.00"
"USC00410902","BOERNE, TX US","1899-09-30","0.00"
"USC00410902","BOERNE, TX US","1899-10-01","0.00"
"USC00410902","BOERNE, TX US","1899-10-02","0.00"
"USC00410902","BOERNE, TX US","1899-10-03","0.00"
"USC00410902","BOERNE, TX US","1899-10-04","0.00"
"USC00410902","BOERNE, TX US","1899-10-05","0.00"
"USC00410902","BOERNE, TX US","1899-10-06","0.00"
"USC00410902","BOERNE, TX US","1899-10-07","0.00"
"USC00410902","BOERNE, TX US","1899-10-08","0.02"
"USC00410902","BOERNE, TX US","1899-10-09","0.05"
"USC00410902","BOERNE, TX US","1899-10-10","0.00"
"USC00410902","BOERNE, TX US","1899-10-11","0.00"
"USC00410902","BOERNE, TX US","1899-10-12","0.00"
"USC00410902","BOERNE, TX US","1899-10-13","0.04"
"USC00410902","BOERNE, TX US","1899-10-14","0.00"
"USC00410902","BOERNE, TX US","1899-10-15","0.00"
"USC00410902","BOERNE, TX US","1899-10-16","0.18"
"USC00410902","BOERNE, TX US","1899-10-17","3.55"
"USC00410902","BOERNE, TX US","1899-10-18","0.00"
"USC00410902","BOERNE, TX US","1899-10-19","0.00"
"USC00410902","BOERNE, TX US","1899-10-20","0.00"
"USC00410902","BOERNE, TX US","1899-10-21","0.00"
"USC00410902","BOERNE, TX US","1899-10-22","0.00"
"USC00410902","BOERNE, TX US","1899-10-23","0.07"
"USC00410902","BOERNE, TX US","1899-10-24","0.00"
"USC00410902","BOERNE, TX US","1899-10-25","0.09"
"USC00410902","BOERNE, TX US","1899-10-26","0.06"
"USC00410902","BOERNE, TX US","1899-10-27","4.90"
"USC00410902","BOERNE, TX US","1899-10-28","0.00"
"USC00410902","BOERNE, TX US","1899-10-29","0.00"
"USC00410902","BOERNE, TX US","1899-10-30","0.00"
"USC00410902","BOERNE, TX US","1899-10-31","0.00"
"USC00410902","BOERNE, TX US","1899-11-01","0.25"
"USC00410902","BOERNE, TX US","1899-11-02","0.00"
"USC00410902","BOERNE, TX US","1899-11-03","0.00"
"USC00410902","BOERNE, TX US","1899-11-04","0.00"
"USC00410902","BOERNE, TX US","1899-11-05","0.00"
"USC00410902","BOERNE, TX US","1899-11-06","0.38"
"USC00410902","BOERNE, TX US","1899-11-07","0.00"
"USC00410902","BOERNE, TX US","1899-11-08","0.00"
"USC00410902","BOERNE, TX US","1899-11-09","0.00"
"USC00410902","BOERNE, TX US","1899-11-10","0.00"
"USC00410902","BOERNE, TX US","1899-11-11","0.00"
"USC00410902","BOERNE, TX US","1899-11-12","0.00"
"USC00410902","BOERNE, TX US","1899-11-13","0.00"
"USC00410902","BOERNE, TX US","1899-11-14","0.00"
"USC00410902","BOERNE, TX US","1899-11-15","0.00"
"USC00410902","BOERNE, TX US","1899-11-16","0.00"
"USC00410902","BOERNE, TX US","1899-11-17","0.00"
"USC00410902","BOERNE, TX US","1899-11-18","0.00"
"USC00410902","BOERNE, TX US","1899-11-19","1.38"
"USC00410902","BOERNE, TX US","1899-11-20","0.00"
"USC00410902","BOERNE, TX US","1899-11-21","0.00"
"USC00410902","BOERNE, TX US","1899-11-22","0.00"
"USC00410902","BOERNE, TX US","1899-11-23","0.25"
"USC00410902","BOERNE, TX US","1899-11-24","0.33"
"USC00410902","BOERNE, TX US","1899-11-25","0.00"
"USC00410902","BOERNE, TX US","1899-11-26","0.00"
"USC00410902","BOERNE, TX US","1899-11-27","0.00"
"USC00410902","BOERNE, TX US","1899-11-28","0.00"
"USC00410902","BOERNE, TX US","1899-11-29","0.00"
"USC00410902","BOERNE, TX US","1899-11-30","0.00"
"USC00410902","BOERNE, TX US","1899-12-01","0.00"
"USC00410902","BOERNE, TX US","1899-12-02","0.00"
"USC00410902","BOERNE, TX US","1899-12-03","0.00"
"USC00410902","BOERNE, TX US","1899-12-04","0.00"
"USC00410902","BOERNE, TX US","1899-12-05","0.00"
"USC00410902","BOERNE, TX US","1899-12-06","0.00"
"USC00410902","BOERNE, TX US","1899-12-07","2.20"
"USC00410902","BOERNE, TX US","1899-12-08","0.10"
"USC00410902","BOERNE, TX US","1899-12-09","0.00"
"USC00410902","BOERNE, TX US","1899-12-10","0.00"
"USC00410902","BOERNE, TX US","1899-12-11","0.00"
"USC00410902","BOERNE, TX US","1899-12-12","0.00"
"USC00410902","BOERNE, TX US","1899-12-13","0.00"
"USC00410902","BOERNE, TX US","1899-12-14","0.00"
"USC00410902","BOERNE, TX US","1899-12-15","0.00"
"USC00410902","BOERNE, TX US","1899-12-16","0.00"
"USC00410902","BOERNE, TX US","1899-12-17","0.00"
"USC00410902","BOERNE, TX US","1899-12-18","0.00"
"USC00410902","BOERNE, TX US","1899-12-19","1.38"
"USC00410902","BOERNE, TX US","1899-12-20","0.67"
"USC00410902","BOERNE, TX US","1899-12-21","0.00"
"USC00410902","BOERNE, TX US","1899-12-22","0.31"
"USC00410902","BOERNE, TX US","1899-12-23","0.00"
"USC00410902","BOERNE, TX US","1899-12-24","0.00"
"USC00410902","BOERNE, TX US","1899-12-25","0.00"
"USC00410902","BOERNE, TX US","1899-12-26","0.00"
"USC00410902","BOERNE, TX US","1899-12-27","0.00"
"USC00410902","BOERNE, TX US","1899-12-28","0.00"
"USC00410902","BOERNE, TX US","1899-12-29","0.00"
"USC00410902","BOERNE, TX US","1899-12-30","0.25"
"USC00410902","BOERNE, TX US","1899-12-31","0.00"
"USC00410902","BOERNE, TX US","1900-01-01","0.00"
"USC00410902","BOERNE, TX US","1900-01-02","0.00"
"USC00410902","BOERNE, TX US","1900-01-03","0.00"
"USC00410902","BOERNE, TX US","1900-01-04","0.00"
"USC00410902","BOERNE, TX US","1900-01-05","0.31"
"USC00410902","BOERNE, TX US","1900-01-06","0.00"
"USC00410902","BOERNE, TX US","1900-01-07","0.00"
"USC00410902","BOERNE, TX US","1900-01-08","0.60"
"USC00410902","BOERNE, TX US","1900-01-09","1.30"
"USC00410902","BOERNE, TX US","1900-01-10","2.90"
"USC00410902","BOERNE, TX US","1900-01-11","0.00"
"USC00410902","BOERNE, TX US","1900-01-12","0.00"
"USC00410902","BOERNE, TX US","1900-01-13","0.00"
"USC00410902","BOERNE, TX US","1900-01-14","0.00"
"USC00410902","BOERNE, TX US","1900-01-15","0.00"
"USC00410902","BOERNE, TX US","1900-01-16","0.00"
"USC00410902","BOERNE, TX US","1900-01-17","0.00"
"USC00410902","BOERNE, TX US","1900-01-18","0.10"
"USC00410902","BOERNE, TX US","1900-01-19","0.00"
"USC00410902","BOERNE, TX US","1900-01-20","0.00"
"USC00410902","BOERNE, TX US","1900-01-21","0.00"
"USC00410902","BOERNE, TX US","1900-01-22","0.00"
"USC00410902","BOERNE, TX US","1900-01-23","0.00"
"USC00410902","BOERNE, TX US","1900-01-24","0.00"
"USC00410902","BOERNE, TX US","1900-01-25","0.00"
"USC00410902","BOERNE, TX US","1900-01-26","0.00"
"USC00410902","BOERNE, TX US","1900-01-27","0.00"
"USC00410902","BOERNE, TX US","1900-01-28","0.10"
"USC00410902","BOERNE, TX US","1900-01-29","0.00"
"USC00410902","BOERNE, TX US","1900-01-30","0.00"
"USC00410902","BOERNE, TX US","1900-01-31","0.00"
"USC00410902","BOERNE, TX US","1900-02-01","0.00"
"USC00410902","BOERNE, TX US","1900-02-02","0.00"
"USC00410902","BOERNE, TX US","1900-02-03","0.00"
"USC00410902","BOERNE, TX US","1900-02-04","0.00"
"USC00410902","BOERNE, TX US","1900-02-05","0.00"
"USC00410902","BOERNE, TX US","1900-02-06","0.00"
"USC00410902","BOERNE, TX US","1900-02-07","0.25"
"USC00410902","BOERNE, TX US","1900-02-08","0.00"
"USC00410902","BOERNE, TX US","1900-02-09","0.00"
"USC00410902","BOERNE, TX US","1900-02-10","0.00"
"USC00410902","BOERNE, TX US","1900-02-11","0.00"
"USC00410902","BOERNE, TX US","1900-02-12","0.00"
"USC00410902","BOERNE, TX US","1900-02-13","0.00"
"USC00410902","BOERNE, TX US","1900-02-14","0.00"
"USC00410902","BOERNE, TX US","1900-02-15","0.00"
"USC00410902","BOERNE, TX US","1900-02-16","0.00"
"USC00410902","BOERNE, TX US","1900-02-17","0.00"
"USC00410902","BOERNE, TX US","1900-02-18","0.00"
"USC00410902","BOERNE, TX US","1900-02-19","0.00"
"USC00410902","BOERNE, TX US","1900-02-20","0.00"
"USC00410902","BOERNE, TX US","1900-02-21","0.00"
"USC00410902","BOERNE, TX US","1900-02-22","0.00"
"USC00410902","BOERNE, TX US","1900-02-23","0.00"
"USC00410902","BOERNE, TX US","1900-02-24","0.00"
"USC00410902","BOERNE, TX US","1900-02-25","0.00"
"USC00410902","BOERNE, TX US","1900-02-26","0.00"
"USC00410902","BOERNE, TX US","1900-02-27","0.00"
"USC00410902","BOERNE, TX US","1900-02-28","0.00"
"USC00410902","BOERNE, TX US","1900-03-01","0.00"
"USC00410902","BOERNE, TX US","1900-03-02","0.00"
"USC00410902","BOERNE, TX US","1900-03-03","0.00"
"USC00410902","BOERNE, TX US","1900-03-04","0.00"
"USC00410902","BOERNE, TX US","1900-03-05","0.00"
"USC00410902","BOERNE, TX US","1900-03-06","0.00"
"USC00410902","BOERNE, TX US","1900-03-07","0.82"
"USC00410902","BOERNE, TX US","1900-03-08","0.00"
"USC00410902","BOERNE, TX US","1900-03-09","0.00"
"USC00410902","BOERNE, TX US","1900-03-10","0.00"
"USC00410902","BOERNE, TX US","1900-03-11","0.00"
"USC00410902","BOERNE, TX US","1900-03-12","0.00"
"USC00410902","BOERNE, TX US","1900-03-13","0.00"
"USC00410902","BOERNE, TX US","1900-03-14","0.00"
"USC00410902","BOERNE, TX US","1900-03-15","0.45"
"USC00410902","BOERNE, TX US","1900-03-16","0.00"
"USC00410902","BOERNE, TX US","1900-03-17","0.28"
"USC00410902","BOERNE, TX US","1900-03-18","0.00"
"USC00410902","BOERNE, TX US","1900-03-19","0.00"
"USC00410902","BOERNE, TX US","1900-03-20","0.00"
"USC00410902","BOERNE, TX US","1900-03-21","0.00"
"USC00410902","BOERNE, TX US","1900-03-22","0.20"
"USC00410902","BOERNE, TX US","1900-03-23","0.21"
"USC00410902","BOERNE, TX US","1900-03-24","0.00"
"USC00410902","BOERNE, TX US","1900-03-25","0.00"
"USC00410902","BOERNE, TX US","1900-03-26","1.40"
"USC00410902","BOERNE, TX US","1900-03-27","0.00"
"USC00410902","BOERNE, TX US","1900-03-28","0.00"
"USC00410902","BOERNE, TX US","1900-03-29","0.00"
"USC00410902","BOERNE, TX US","1900-03-30","0.00"
"USC00410902","BOERNE, TX US","1900-03-31","0.00"
"USC00410902","BOERNE, TX US","1900-04-01","0.00"
"USC00410902","BOERNE, TX US","1900-04-02","0.00"
"USC00410902","BOERNE, TX US","1900-04-03","0.00"
"USC00410902","BOERNE, TX US","1900-04-04","0.00"
"USC00410902","BOERNE, TX US","1900-04-05","0.00"
"USC00410902","BOERNE, TX US","1900-04-06","1.20"
"USC00410902","BOERNE, TX US","1900-04-07","5.10"
"USC00410902","BOERNE, TX US","1900-04-08","0.00"
"USC00410902","BOERNE, TX US","1900-04-09","0.00"
"USC00410902","BOERNE, TX US","1900-04-10","0.00"
"USC00410902","BOERNE, TX US","1900-04-11","0.00"
"USC00410902","BOERNE, TX US","1900-04-12","0.00"
"USC00410902","BOERNE, TX US","1900-04-13","0.00"
"USC00410902","BOERNE, TX US","1900-04-14","0.00"
"USC00410902","BOERNE, TX US","1900-04-15","0.00"
"USC00410902","BOERNE, TX US","1900-04-16","0.00"
"USC00410902","BOERNE, TX US","1900-04-17","0.00"
"USC00410902","BOERNE, TX US","1900-04-18","0.24"
"USC00410902","BOERNE, TX US","1900-04-19","0.00"
"USC00410902","BOERNE, TX US","1900-04-20","0.00"
"USC00410902","BOERNE, TX US","1900-04-21","0.00"
"USC00410902","BOERNE, TX US","1900-04-22","1.02"
"USC00410902","BOERNE, TX US","1900-04-23","0.15"
"USC00410902","BOERNE, TX US","1900-04-24","0.00"
"USC00410902","BOERNE, TX US","1900-04-25","0.05"
"USC00410902","BOERNE, TX US","1900-04-26","0.00"
"USC00410902","BOERNE, TX US","1900-04-27","1.80"
"USC00410902","BOERNE, TX US","1900-04-28","0.00"
"USC00410902","BOERNE, TX US","1900-04-29","2.50"
"USC00410902","BOERNE, TX US","1900-04-30","0.30"
"USC00410902","BOERNE, TX US","1900-05-01","0.00"
"USC00410902","BOERNE, TX US","1900-05-02","0.03"
"USC00410902","BOERNE, TX US","1900-05-03","0.90"
"USC00410902","BOERNE, TX US","1900-05-04","0.00"
"USC00410902","BOERNE, TX US","1900-05-05","0.00"
"USC00410902","BOERNE, TX US","1900-05-06","0.00"
"USC00410902","BOERNE, TX US","1900-05-07","1.75"
"USC00410902","BOERNE, TX US","1900-05-08","0.00"
"USC00410902","BOERNE, TX US","1900-05-09","0.00"
"USC00410902","BOERNE, TX US","1900-05-10","0.00"
"USC00410902","BOERNE, TX US","1900-05-11","0.00"
"USC00410902","BOERNE, TX US","1900-05-12","0.00"
"USC00410902","BOERNE, TX US","1900-05-13","0.00"
"USC00410902","BOERNE, TX US","1900-05-14","3.60"
"USC00410902","BOERNE, TX US","1900-05-15","0.45"
"USC00410902","BOERNE, TX US","1900-05-16","0.00"
"USC00410902","BOERNE, TX US","1900-05-17","0.00"
"USC00410902","BOERNE, TX US","1900-05-18","0.00"
"USC00410902","BOERNE, TX US","1900-05-19","0.28"
"USC00410902","BOERNE, TX US","1900-05-20","0.00"
"USC00410902","BOERNE, TX US","1900-05-21","0.65"
"USC00410902","BOERNE, TX US","1900-05-22","0.00"
"USC00410902","BOERNE, TX US","1900-05-23","0.00"
"USC00410902","BOERNE, TX US","1900-05-24","0.00"
"USC00410902","BOERNE, TX US","1900-05-25","0.00"
"USC00410902","BOERNE, TX US","1900-05-26","0.00"
"USC00410902","BOERNE, TX US","1900-05-27","0.00"
"USC00410902","BOERNE, TX US","1900-05-28","0.00"
"USC00410902","BOERNE, TX US","1900-05-29","0.00"
"USC00410902","BOERNE, TX US","1900-05-30","0.00"
"USC00410902","BOERNE, TX US","1900-05-31","0.05"
"USC00410902","BOERNE, TX US","1900-06-01","0.48"
"USC00410902","BOERNE, TX US","1900-06-02","0.00"
"USC00410902","BOERNE, TX US","1900-06-03","0.00"
"USC00410902","BOERNE, TX US","1900-06-04","0.60"
"USC00410902","BOERNE, TX US","1900-06-05","0.00"
"USC00410902","BOERNE, TX US","1900-06-06","0.00"
"USC00410902","BOERNE, TX US","1900-06-07","0.00"
"USC00410902","BOERNE, TX US","1900-06-08","0.00"
"USC00410902","BOERNE, TX US","1900-06-09","0.00"
"USC00410902","BOERNE, TX US","1900-06-10","0.00"
"USC00410902","BOERNE, TX US","1900-06-11","0.00"
"USC00410902","BOERNE, TX US","1900-06-12","0.00"
"USC00410902","BOERNE, TX US","1900-06-13","0.00"
"USC00410902","BOERNE, TX US","1900-06-14","0.00"
"USC00410902","BOERNE, TX US","1900-06-15","0.00"
"USC00410902","BOERNE, TX US","1900-06-16","0.00"
"USC00410902","BOERNE, TX US","1900-06-17","0.00"
"USC00410902","BOERNE, TX US","1900-06-18","0.00"
"USC00410902","BOERNE, TX US","1900-06-19","0.00"
"USC00410902","BOERNE, TX US","1900-06-20","0.00"
"USC00410902","BOERNE, TX US","1900-06-21","0.00"
"USC00410902","BOERNE, TX US","1900-06-22","0.00"
"USC00410902","BOERNE, TX US","1900-06-23","0.00"
"USC00410902","BOERNE, TX US","1900-06-24","0.00"
"USC00410902","BOERNE, TX US","1900-06-25","0.00"
"USC00410902","BOERNE, TX US","1900-06-26","0.00"
"USC00410902","BOERNE, TX US","1900-06-27","0.00"
"USC00410902","BOERNE, TX US","1900-06-28","0.00"
"USC00410902","BOERNE, TX US","1900-06-29","0.00"
"USC00410902","BOERNE, TX US","1900-06-30","0.00"
"USC00410902","BOERNE, TX US","1900-07-01","0.00"
"USC00410902","BOERNE, TX US","1900-07-02","0.00"
"USC00410902","BOERNE, TX US","1900-07-03","0.32"
"USC00410902","BOERNE, TX US","1900-07-04","0.30"
"USC00410902","BOERNE, TX US","1900-07-05","0.22"
"USC00410902","BOERNE, TX US","1900-07-06","0.00"
"USC00410902","BOERNE, TX US","1900-07-07","0.00"
"USC00410902","BOERNE, TX US","1900-07-08","0.00"
"USC00410902","BOERNE, TX US","1900-07-09","0.20"
"USC00410902","BOERNE, TX US","1900-07-10","0.05"
"USC00410902","BOERNE, TX US","1900-07-11","0.00"
"USC00410902","BOERNE, TX US","1900-07-12","0.00"
"USC00410902","BOERNE, TX US","1900-07-13","2.12"
"USC00410902","BOERNE, TX US","1900-07-14","2.35"
"USC00410902","BOERNE, TX US","1900-07-15","0.05"
"USC00410902","BOERNE, TX US","1900-07-16","0.05"
"USC00410902","BOERNE, TX US","1900-07-17","0.00"
"USC00410902","BOERNE, TX US","1900-07-18","0.00"
"USC00410902","BOERNE, TX US","1900-07-19","0.00"
"USC00410902","BOERNE, TX US","1900-07-20","0.00"
"USC00410902","BOERNE, TX US","1900-07-21","0.00"
"USC00410902","BOERNE, TX US","1900-07-22","0.00"
"USC00410902","BOERNE, TX US","1900-07-23","0.00"
"USC00410902","BOERNE, TX US","1900-07-24","0.00"
"USC00410902","BOERNE, TX US","1900-07-25","0.00"
"USC00410902","BOERNE, TX US","1900-07-26","1.82"
"USC00410902","BOERNE, TX US","1900-07-27","0.00"
"USC00410902","BOERNE, TX US","1900-07-28","0.00"
"USC00410902","BOERNE, TX US","1900-07-29","0.40"
"USC00410902","BOERNE, TX US","1900-07-30","0.52"
"USC00410902","BOERNE, TX US","1900-07-31","0.00"
"USC00410902","BOERNE, TX US","1900-08-01","0.48"
"USC00410902","BOERNE, TX US","1900-08-02","0.00"
"USC00410902","BOERNE, TX US","1900-08-03","0.00"
"USC00410902","BOERNE, TX US","1900-08-04","1.22"
"USC00410902","BOERNE, TX US","1900-08-05","0.00"
"USC00410902","BOERNE, TX US","1900-08-06","0.00"
"USC00410902","BOERNE, TX US","1900-08-07","0.00"
"USC00410902","BOERNE, TX US","1900-08-08","0.20"
"USC00410902","BOERNE, TX US","1900-08-09","0.12"
"USC00410902","BOERNE, TX US","1900-08-10","0.05"
"USC00410902","BOERNE, TX US","1900-08-11","0.07"
"USC00410902","BOERNE, TX US","1900-08-12","0.00"
"USC00410902","BOERNE, TX US","1900-08-13","0.00"
"USC00410902","BOERNE, TX US","1900-08-14","0.00"
"USC00410902","BOERNE, TX US","1900-08-15","0.00"
"USC00410902","BOERNE, TX US","1900-08-16","0.00"
"USC00410902","BOERNE, TX US","1900-08-17","0.00"
"USC00410902","BOERNE, TX US","1900-08-18","0.07"
"USC00410902","BOERNE, TX US","1900-08-19","0.05"
"USC00410902","BOERNE, TX US","1900-08-20","0.00"
"USC00410902","BOERNE, TX US","1900-08-21","0.00"
"USC00410902","BOERNE, TX US","1900-08-22","0.00"
"USC00410902","BOERNE, TX US","1900-08-23","0.00"
"USC00410902","BOERNE, TX US","1900-08-24","0.00"
"USC00410902","BOERNE, TX US","1900-08-25","0.00"
"USC00410902","BOERNE, TX US","1900-08-26","0.00"
"USC00410902","BOERNE, TX US","1900-08-27","0.00"
"USC00410902","BOERNE, TX US","1900-08-28","0.00"
"USC00410902","BOERNE, TX US","1900-08-29","0.00"
"USC00410902","BOERNE, TX US","1900-08-30","0.15"
"USC00410902","BOERNE, TX US","1900-08-31","0.05"
"USC00410902","BOERNE, TX US","1900-09-01","0.54"
"USC00410902","BOERNE, TX US","1900-09-02","0.00"
"USC00410902","BOERNE, TX US","1900-09-03","0.00"
"USC00410902","BOERNE, TX US","1900-09-04","0.00"
"USC00410902","BOERNE, TX US","1900-09-05","0.48"
"USC00410902","BOERNE, TX US","1900-09-06","0.00"
"USC00410902","BOERNE, TX US","1900-09-07","0.00"
"USC00410902","BOERNE, TX US","1900-09-08","0.00"
"USC00410902","BOERNE, TX US","1900-09-09","0.27"
"USC00410902","BOERNE, TX US","1900-09-10","0.00"
"USC00410902","BOERNE, TX US","1900-09-11","0.00"
"USC00410902","BOERNE, TX US","1900-09-12","0.00"
"USC00410902","BOERNE, TX US","1900-09-13","0.00"
"USC00410902","BOERNE, TX US","1900-09-14","0.00"
"USC00410902","BOERNE, TX US","1900-09-15","0.00"
"USC00410902","BOERNE, TX US","1900-09-16","0.00"
"USC00410902","BOERNE, TX US","1900-09-17","0.00"
"USC00410902","BOERNE, TX US","1900-09-18","0.00"
"USC00410902","BOERNE, TX US","1900-09-19","0.00"
"USC00410902","BOERNE, TX US","1900-09-20","0.00"
"USC00410902","BOERNE, TX US","1900-09-21","0.50"
"USC00410902","BOERNE, TX US","1900-09-22","0.00"
"USC00410902","BOERNE, TX US","1900-09-23","0.10"
"USC00410902","BOERNE, TX US","1900-09-24","0.00"
"USC00410902","BOERNE, TX US","1900-09-25","0.00"
"USC00410902","BOERNE, TX US","1900-09-26","0.00"
"USC00410902","BOERNE, TX US","1900-09-27","0.10"
"USC00410902","BOERNE, TX US","1900-09-28","0.00"
"USC00410902","BOERNE, TX US","1900-09-29","0.00"
"USC00410902","BOERNE, TX US","1900-09-30","0.00"
"USC00410902","BOERNE, TX US","1900-10-01","0.00"
"USC00410902","BOERNE, TX US","1900-10-02","0.00"
"USC00410902","BOERNE, TX US","1900-10-03","0.00"
"USC00410902","BOERNE, TX US","1900-10-04","0.00"
